event_id,shot_statsbomb_xg,shot_outcome,shot_body_part,shot_type,shot_technique,shot_first_time,shot_one_on_one,end_x,end_y,end_z
b548479e-3512-4ae7-acda-825688a6f311,0.08262946,Saved,Right Foot,Open Play,Normal,False,False,117.8,38.4,0.1
25bc6d55-2028-421e-9226-3f14f66e4a79,0.20754081,Goal,Left Foot,Open Play,Normal,False,False,120.0,37.2,0.2
e0418b11-27c3-46fa-9fcf-28f437b7f439,0.019666217,Off T,Right Foot,Open Play,Normal,False,False,120.0,30.6,0.2
b988aa2b-7a2d-4350-b8b8-10eb005a37f8,0.029434314,Blocked,Right Foot,Open Play,Normal,False,False,106.0,33.7,
432a02c6-bb1d-4fcb-8925-f68b93ee4aee,0.08450238,Blocked,Right Foot,Free Kick,Normal,False,False,107.7,39.0,
0c092fac-e5fe-42db-9f52-decbf42e7a8b,0.068982005,Post,Head,Open Play,Normal,False,False,120.0,36.2,0.6
9b389e5d-9085-4864-957d-1ada0c078004,0.14797515,Off T,Left Foot,Open Play,Half Volley,True,False,120.0,44.1,5.5
245eda24-8edf-457e-b988-a6bc6aa939f4,0.015983043,Off T,Right Foot,Open Play,Volley,True,False,120.0,18.5,0.2
1dbe26c2-3d55-44c9-b871-5230cdd9e7d2,0.0096945865,Off T,Left Foot,Open Play,Normal,False,False,120.0,34.4,4.5
951a1fcc-da29-48cb-b06e-52219224641a,0.034083907,Off T,Right Foot,Open Play,Normal,False,False,120.0,45.4,6.1
e8b15c49-cffa-4f1e-9c55-bbfaef410708,0.105419256,Off T,Head,Open Play,Normal,False,True,120.0,27.8,0.3
cf41cba4-013e-46c9-800f-4e8262871bfb,0.01739929,Blocked,Left Foot,Open Play,Normal,False,False,100.4,50.0,
74a8f1b0-6025-40c8-a290-78e2fdff6673,0.12251449,Blocked,Right Foot,Open Play,Normal,True,False,115.8,43.6,
9403112f-3bdb-4897-8999-f9d35f8a1e3a,0.2599237,Off T,Head,Open Play,Normal,False,False,120.0,43.0,5.6
d6529104-6ed6-47c1-8322-d9771bb84e04,0.01600528,Blocked,Right Foot,Open Play,Normal,False,False,115.8,34.6,
2996df98-348b-485c-8606-52a8777898bd,0.6280385,Blocked,Right Foot,Open Play,Half Volley,False,False,116.2,38.8,
f091e9b0-a858-4ba3-846b-69de7116893e,0.024775233,Blocked,Right Foot,Open Play,Normal,False,False,99.6,30.3,
3a461b8e-e76d-47d4-a294-570919e5db3e,0.12888715,Goal,Right Foot,Open Play,Half Volley,True,False,120.0,37.2,0.7
d98ede38-60f9-4f14-a949-a0c3c07ef93c,0.10207344,Off T,Head,Open Play,Normal,False,True,120.0,57.3,0.9
1552184b-b123-4e14-b456-e425121f02c9,0.019351551,Off T,Right Foot,Open Play,Normal,False,False,120.0,46.9,4.8
679b430a-deeb-40c9-baa5-4e1a2c83a9d1,0.15241206,Goal,Left Foot,Open Play,Normal,True,False,120.0,43.6,0.2
b0f3f1f5-4215-448a-8e2d-a6435e1e2915,0.060566295,Off T,Right Foot,Open Play,Half Volley,False,False,120.0,44.8,4.5
77b4755a-0ed5-415b-a852-4cfddc9bbbbe,0.021076806,Blocked,Right Foot,Open Play,Normal,False,False,102.5,46.0,
639b2b17-1bfa-4d47-b267-926942747ada,0.014186583,Off T,Left Foot,Open Play,Half Volley,True,False,120.0,35.7,1.4
74ddbfa4-3788-4b3b-a317-7559fb23447b,0.0071685114,Saved,Right Foot,Open Play,Half Volley,False,False,116.9,44.0,1.2
5623f540-39c0-4f60-9fa8-28da90f4e6eb,0.1066246,Off T,Head,Open Play,Normal,False,False,120.0,36.7,4.1
9112a3f8-2d9a-4e6c-9d80-50faef0167a4,0.035122048,Saved,Right Foot,Open Play,Normal,False,False,115.2,36.0,0.2
14268e06-8778-49ea-a6ac-048cbed4a1dc,0.053705662,Off T,Right Foot,Open Play,Normal,False,False,120.0,30.7,0.2
9db5aa14-4540-489d-be5c-7df2247d61c4,0.028420696,Saved,Right Foot,Open Play,Normal,False,False,115.7,39.8,0.5
68bb5d9f-1cd2-4a12-9c63-51c152f557da,0.6160112,Goal,Right Foot,Open Play,Normal,True,False,120.0,42.7,0.5
3f8a4831-3670-4990-b6f3-b69ea3784ec7,0.14782605,Off T,Head,Open Play,Normal,False,False,120.0,35.5,1.0
6ef8f4ac-3649-41cb-86a0-3d8f7aa82360,0.017211357,Off T,Right Foot,Open Play,Half Volley,True,False,120.0,25.2,0.2
658f511b-c105-42e4-9134-79a61827def3,0.13966918,Off T,Right Foot,Open Play,Normal,True,False,120.0,30.4,0.2
a1e8543d-afc8-4ae2-ae33-677e876da0eb,0.06994204,Saved,Left Foot,Open Play,Normal,False,False,115.4,32.8,0.8
b11f8553-3a90-4737-93de-fac8403d9ef1,0.014327681,Blocked,Right Foot,Open Play,Normal,True,False,119.1,44.0,
ef8efa36-b84f-4a5e-8d90-4d4af335a915,0.024015278,Off T,Right Foot,Open Play,Normal,False,False,120.0,34.9,0.1
e6c54113-0408-464e-bb40-b47e88cbdd23,0.02907804,Off T,Right Foot,Open Play,Normal,False,False,120.0,44.0,5.0
2170d930-fc3e-49fa-a279-905fd1601975,0.0150473565,Blocked,Left Foot,Open Play,Normal,False,False,117.0,30.3,
8ed27503-8a90-4bb5-8be2-a7edfbce6f6c,0.06140117,Off T,Head,Open Play,Normal,False,False,120.0,39.5,5.0
08d752bf-81e8-49a2-af06-eabc8a28b6f3,0.12844042,Saved,Right Foot,Open Play,Normal,True,False,118.8,43.2,1.3
3734265f-f6dc-47cf-9f38-b778ed2cc0b5,0.036192924,Blocked,Right Foot,Open Play,Normal,False,False,108.4,29.0,
6e1f0747-29cb-4084-ba41-df77c450ac15,0.06452818,Wayward,Right Foot,Open Play,Volley,True,False,109.8,37.9,
d3b10410-5e4a-4d4a-b8f8-d9343bf1342c,0.022662567,Off T,Left Foot,Open Play,Normal,False,False,120.0,35.5,3.8
88cc5fc8-b9c5-4819-a4fa-67e7ac5db5ee,0.214885,Saved,Right Foot,Open Play,Half Volley,False,False,116.1,43.2,0.4
8e41f26a-fd00-41d7-888d-4755c5c659ca,0.021610575,Saved,Right Foot,Open Play,Normal,False,False,117.8,40.0,0.2
1aa09b54-b49f-44fa-b81d-9f1d87160a99,0.023639983,Off T,Left Foot,Open Play,Normal,False,False,120.0,42.3,6.4
